Date,Region,Product,Units_Sold,Unit_Price,Total_Sales
2022-01-01,West,Product B,61,64.16,3913.76
2022-01-01,East,Product C,76,483.29,36730.04
2022-01-01,North,Product D,55,146.51,8058.05
2022-01-01,South,Product E,47,370.67,17421.49
2022-01-01,North,Product C,19,99.05,1881.95
2022-01-01,North,Product B,33,370.35,12221.55
2022-01-01,East,Product D,99,444.58,44013.42
2022-01-01,West,Product C,68,262.37,17841.16
2022-01-02,South,Product E,64,384.27,24593.28
2022-01-02,South,Product A,14,340.19,4762.66
2022-01-02,Central,Product D,1,389.27,389.27
2022-01-02,North,Product D,58,216.45,12554.1
2022-01-02,West,Product D,79,313.14,24738.06
2022-01-03,East,Product C,3,385.76,1157.28
2022-01-03,East,Product A,3,218.54,655.62
2022-01-03,North,Product D,14,95.31,1334.34
2022-01-03,West,Product A,35,230.31,8060.85
2022-01-03,East,Product E,78,81.96,6392.88
2022-01-04,North,Product E,36,114.66,4127.76
2022-01-04,Central,Product D,28,468.17,13108.76
2022-01-04,Central,Product D,16,217.14,3474.24
2022-01-05,North,Product C,76,132.56,10074.56
2022-01-05,South,Product C,31,486.29,15074.99
2022-01-05,South,Product E,95,231.71,22012.45
2022-01-05,South,Product B,86,296.65,25511.9
2022-01-06,West,Product C,3,327.42,982.26
2022-01-06,West,Product E,45,230.1,10354.5
2022-01-06,West,Product D,71,377.65,26813.15
2022-01-06,Central,Product A,87,146.38,12735.06
2022-01-07,North,Product C,8,65.78,526.24
2022-01-07,Central,Product C,5,303.41,1517.05
2022-01-07,West,Product D,10,429.54,4295.4
2022-01-07,East,Product B,33,52.74,1740.42
2022-01-07,East,Product D,36,299.18,10770.48
2022-01-08,North,Product D,1,481.33,481.33
2022-01-08,East,Product A,1,450.55,450.55
2022-01-08,West,Product B,36,344.44,12399.84
2022-01-08,East,Product D,61,444.87,27137.07
2022-01-08,South,Product E,15,449.89,6748.35
2022-01-09,East,Product E,74,394.28,29176.72
2022-01-09,North,Product C,90,194.42,17497.8
2022-01-09,North,Product E,58,223.92,12987.36
2022-01-10,South,Product C,42,232.85,9779.7
2022-01-10,North,Product A,88,276.99,24375.12
2022-01-10,South,Product A,33,161.57,5331.81
2022-01-10,South,Product E,95,139.15,13219.25
2022-01-10,South,Product E,45,158.86,7148.7
2022-01-11,North,Product D,38,389.69,14808.22
2022-01-11,North,Product D,19,346.48,6583.12
2022-01-11,Central,Product E,51,231.24,11793.24
2022-01-11,North,Product C,1,272.78,272.78
2022-01-11,North,Product A,55,150.19,8260.45
2022-01-12,North,Product D,93,103.09,9587.37
2022-01-12,North,Product D,84,331.55,27850.2
2022-01-12,North,Product B,19,300.95,5718.05
2022-01-12,South,Product A,42,346.52,14553.84
2022-01-12,East,Product E,90,352.24,31701.6
2022-01-12,North,Product B,79,396.54,31326.66
2022-01-12,West,Product D,81,403.61,32692.41
2022-01-12,North,Product E,5,261.08,1305.4
2022-01-12,Central,Product D,46,97.6,4489.6
2022-01-13,East,Product B,10,189.3,1893.0
2022-01-13,East,Product B,85,493.78,41971.3
2022-01-13,West,Product A,19,88.42,1679.98
2022-01-13,West,Product C,39,375.61,14648.79
2022-01-13,East,Product B,85,444.58,37789.3
2022-01-14,West,Product D,64,465.96,29821.44
2022-01-14,West,Product B,96,272.21,26132.16
2022-01-14,South,Product B,93,444.39,41328.27
2022-01-14,South,Product C,27,173.31,4679.37
2022-01-15,South,Product B,56,329.98,18478.88
2022-01-15,West,Product D,97,62.73,6084.81
2022-01-15,Central,Product D,22,286.0,6292.0
2022-01-15,West,Product D,77,235.13,18105.01
2022-01-15,South,Product B,27,337.41,9110.07
2022-01-16,West,Product B,4,302.5,1210.0
2022-01-16,East,Product A,69,258.95,17867.55
2022-01-17,East,Product D,50,215.52,10776.0
2022-01-17,North,Product C,16,414.4,6630.4
2022-01-17,Central,Product D,22,450.64,9914.08
2022-01-17,North,Product C,49,195.27,9568.23
2022-01-17,Central,Product B,97,192.51,18673.47
2022-01-17,East,Product E,67,496.22,33246.74
2022-01-17,West,Product E,46,418.7,19260.2
2022-01-18,North,Product C,25,207.61,5190.25
2022-01-18,Central,Product A,18,220.76,3973.68
2022-01-19,North,Product D,52,458.55,23844.6
2022-01-19,West,Product E,62,152.51,9455.62
2022-01-19,Central,Product C,64,262.76,16816.64
2022-01-19,North,Product E,99,205.15,20309.85
2022-01-19,East,Product C,61,143.08,8727.88
2022-01-19,East,Product D,23,195.79,4503.17
2022-01-19,North,Product D,63,267.92,16878.96
2022-01-19,North,Product B,31,50.54,1566.74
2022-01-19,Central,Product C,18,481.75,8671.5
2022-01-19,North,Product E,17,364.2,6191.4
2022-01-20,North,Product B,9,296.61,2669.49
2022-01-20,North,Product E,9,88.69,798.21
2022-01-21,East,Product B,43,127.26,5472.18
2022-01-21,South,Product D,17,230.27,3914.59
2022-01-21,North,Product D,58,109.33,6341.14
2022-01-21,North,Product B,77,260.63,20068.51
2022-01-21,West,Product C,9,422.03,3798.27
2022-01-21,Central,Product D,36,197.25,7101.0
2022-01-21,West,Product E,87,56.73,4935.51
2022-01-21,North,Product D,2,301.95,603.9
2022-01-21,South,Product E,51,402.78,20541.78
2022-01-22,West,Product A,31,188.3,5837.3
2022-01-22,West,Product B,67,427.17,28620.39
2022-01-22,West,Product A,84,388.58,32640.72
2022-01-22,South,Product D,63,400.92,25257.96
2022-01-22,South,Product E,38,315.17,11976.46
2022-01-22,South,Product C,1,198.09,198.09
2022-01-22,North,Product E,74,437.51,32375.74
2022-01-22,Central,Product D,7,492.19,3445.33
2022-01-23,South,Product D,2,171.8,343.6
2022-01-23,Central,Product C,38,155.96,5926.48
2022-01-23,West,Product E,68,379.51,25806.68
2022-01-23,Central,Product C,69,297.49,20526.81
2022-01-23,South,Product E,77,151.14,11637.78
2022-01-24,Central,Product D,66,310.13,20468.58
2022-01-25,Central,Product B,57,72.12,4110.84
2022-01-25,North,Product C,71,475.3,33746.3
2022-01-25,East,Product A,77,173.95,13394.15
2022-01-25,South,Product B,45,237.52,10688.4
2022-01-25,Central,Product B,38,473.51,17993.38
2022-01-25,Central,Product B,20,203.26,4065.2
2022-01-26,North,Product C,63,247.77,15609.51
2022-01-26,North,Product D,48,450.09,21604.32
2022-01-26,East,Product B,91,130.28,11855.48
2022-01-27,Central,Product B,89,304.17,27071.13
2022-01-27,Central,Product C,90,498.11,44829.9
2022-01-27,North,Product B,62,169.07,10482.34
2022-01-27,Central,Product B,10,454.2,4542.0
2022-01-28,Central,Product B,25,389.54,9738.5
2022-01-28,North,Product A,29,67.75,1964.75
2022-01-28,North,Product C,16,56.75,908.0
2022-01-28,East,Product B,74,178.43,13203.82
2022-01-28,South,Product E,54,180.14,9727.56
2022-01-29,South,Product A,12,220.98,2651.76
2022-01-29,Central,Product A,76,167.36,12719.36
2022-01-29,Central,Product C,36,339.7,12229.2
2022-01-29,South,Product C,83,99.38,8248.54
2022-01-29,Central,Product C,59,402.88,23769.92
2022-01-29,East,Product C,64,380.52,24353.28
2022-01-29,North,Product E,53,431.59,22874.27
2022-01-29,North,Product C,35,401.69,14059.15
2022-01-30,South,Product E,17,351.62,5977.54
2022-01-30,West,Product D,24,181.6,4358.4
2022-01-30,West,Product D,86,121.16,10419.76
2022-01-31,Central,Product B,4,369.45,1477.8
2022-01-31,South,Product E,92,142.77,13134.84
2022-01-31,East,Product A,31,247.75,7680.25
2022-02-01,South,Product C,3,327.03,981.09
2022-02-01,North,Product E,58,363.04,21056.32
2022-02-01,North,Product A,15,425.26,6378.9
2022-02-02,North,Product E,78,399.38,31151.64
2022-02-02,East,Product C,29,135.06,3916.74
2022-02-03,East,Product D,53,146.18,7747.54
2022-02-03,South,Product E,96,83.87,8051.52
2022-02-03,West,Product B,1,195.21,195.21
2022-02-03,South,Product A,88,430.79,37909.52
2022-02-04,West,Product B,86,359.28,30898.08
2022-02-04,East,Product C,54,317.51,17145.54
2022-02-04,South,Product C,5,84.0,420.0
2022-02-04,East,Product D,56,146.9,8226.4
2022-02-04,Central,Product A,84,268.87,22585.08
2022-02-05,North,Product A,8,100.67,805.36
2022-02-05,East,Product E,34,109.47,3721.98
2022-02-05,West,Product E,20,315.69,6313.8
2022-02-05,Central,Product C,52,279.6,14539.2
2022-02-05,South,Product C,84,319.56,26843.04
2022-02-06,North,Product C,48,155.03,7441.44
2022-02-06,East,Product E,20,406.36,8127.2
2022-02-06,South,Product E,50,110.65,5532.5
2022-02-07,North,Product C,87,92.65,8060.55
2022-02-07,South,Product A,32,234.14,7492.48
2022-02-07,East,Product D,33,64.45,2126.85
2022-02-08,East,Product C,75,170.18,12763.5
2022-02-08,East,Product A,88,465.12,40930.56
2022-02-08,West,Product E,2,307.32,614.64
2022-02-08,Central,Product A,19,336.22,6388.18
2022-02-08,North,Product C,58,461.7,26778.6
2022-02-08,South,Product D,77,452.06,34808.62
2022-02-09,Central,Product D,66,380.26,25097.16
2022-02-09,North,Product A,70,482.01,33740.7
2022-02-09,North,Product C,34,306.67,10426.78
2022-02-09,South,Product A,68,247.1,16802.8
2022-02-09,South,Product A,82,188.22,15434.04
2022-02-09,South,Product D,22,165.73,3646.06
2022-02-10,Central,Product B,85,304.17,25854.45
2022-02-10,North,Product D,42,269.64,11324.88
2022-02-10,Central,Product B,62,246.55,15286.1
2022-02-10,East,Product C,40,87.8,3512.0
2022-02-10,North,Product D,70,490.88,34361.6
2022-02-10,East,Product B,17,59.11,1004.87
2022-02-11,Central,Product B,48,333.52,16008.96
2022-02-11,North,Product D,28,371.34,10397.52
2022-02-11,Central,Product C,65,52.4,3406.0
2022-02-12,West,Product D,36,373.3,13438.8
2022-02-12,North,Product E,30,178.73,5361.9
2022-02-12,North,Product E,18,103.65,1865.7
2022-02-12,North,Product C,23,448.06,10305.38
2022-02-12,East,Product D,82,226.93,18608.26
2022-02-12,South,Product B,43,65.05,2797.15
2022-02-12,West,Product C,10,201.8,2018.0
2022-02-12,West,Product D,19,461.83,8774.77
2022-02-13,East,Product C,57,492.46,28070.22
2022-02-13,Central,Product B,3,191.51,574.53
2022-02-14,North,Product E,83,95.71,7943.93
2022-02-14,North,Product E,41,166.39,6821.99
2022-02-14,West,Product B,71,304.17,21596.07
2022-02-15,North,Product A,50,152.75,7637.5
2022-02-15,Central,Product B,89,267.51,23808.39
2022-02-16,West,Product B,19,476.48,9053.12
